gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,bachelor's degree,standard,none,72,72,74
male,group C,some college,standard,completed,69,90,88
female,group B,master's degree,standard,none,90,95,93
male,group A,associate's degree,free/reduced,none,47,57,44
male,group C,some college,standard,none,76,78,75
female,group B,associate's degree,standard,none,71,83,78
female,group B,some college,standard,completed,88,95,92
male,group B,some college,free/reduced,none,40,43,39
male,group D,high school,free/reduced,completed,64,64,67
female,group B,high school,free/reduced,none,38,60,50
male,group C,associate's degree,standard,none,58,54,52
female,group D,associate's degree,standard,none,82,88,90
male,group B,high school,free/reduced,none,34,46,32
female,group A,some college,standard,completed,88,82,84
male,group C,some college,free/reduced,none,64,67,64
female,group C,master's degree,standard,none,76,78,84
male,group B,bachelor's degree,free/reduced,none,61,59,56
female,group C,some college,standard,none,70,75,74
male,group C,high school,standard,none,62,65,60
female,group D,some college,standard,completed,85,89,86
male,group C,bachelor's degree,standard,none,74,73,72
female,group D,some college,free/reduced,none,59,70,65
male,group D,some college,standard,completed,79,83,80
female,group C,associate's degree,standard,none,66,72,70
male,group B,some college,free/reduced,none,52,58,52
female,group C,bachelor's degree,standard,completed,91,93,94
male,group A,high school,free/reduced,none,48,51,44
female,group B,some college,standard,none,74,78,76
male,group C,some college,standard,none,68,70,65
female,group D,bachelor's degree,standard,completed,83,87,88
